Name,logfc,avgexp,pointsize,adjpval,Original Color,Original Hovinfo,Original Opaq,UpColor_2500vTn1phoAT,UpHovinfo_2500vTn1phoAT,UpOpaq_2500vTn1phoAT,UpColor_2500vTn1phoATcomp,UpHovinfo_2500vTn1phoATcomp,UpOpaq_2500vTn1phoATcomp,UpColor_2500vTn1phoATrevert,UpHovinfo_2500vTn1phoATrevert,UpOpaq_2500vTn1phoATrevert,UpColor_2500vTn15,UpHovinfo_2500vTn15,UpOpaq_2500vTn15,UpColor_2500vTn17lppzplppz,UpHovinfo_2500vTn17lppzplppz,UpOpaq_2500vTn17lppzplppz,UpColor_2500vTn17lppz,UpHovinfo_2500vTn17lppz,UpOpaq_2500vTn17lppz,UpColor_2500vTn19pykppyk,UpHovinfo_2500vTn19pykppyk,UpOpaq_2500vTn19pykppyk,UpColor_2500vTn19pyk,UpHovinfo_2500vTn19pyk,UpOpaq_2500vTn19pyk,DownColor_2500vTn1phoAT,DownHovinfo_2500vTn1phoAT,DownOpaq_2500vTn1phoAT,DownColor_2500vTn1phoATcomp,DownHovinfo_2500vTn1phoATcomp,DownOpaq_2500vTn1phoATcomp,DownColor_2500vTn1phoATrevert,DownHovinfo_2500vTn1phoATrevert,DownOpaq_2500vTn1phoATrevert,DownColor_2500vTn15,DownHovinfo_2500vTn15,DownOpaq_2500vTn15,DownColor_2500vTn17lppzplppz,DownHovinfo_2500vTn17lppzplppz,DownOpaq_2500vTn17lppzplppz,DownColor_2500vTn17lppz,DownHovinfo_2500vTn17lppz,DownOpaq_2500vTn17lppz,DownColor_2500vTn19pykppyk,DownHovinfo_2500vTn19pykppyk,DownOpaq_2500vTn19pykppyk,DownColor_2500vTn19pyk,DownHovinfo_2500vTn19pyk,DownOpaq_2500vTn19pyk
rplA<br><b>50S ribosomal protein L1<br></b>Binds directly to 23S rRNA. The L1<br>stalk is quite mobile in the ribosome and is<br>involved in E site tRNA release.,-1.58436220124792,7.40128935511605,2.64901853765686,1.8132585767182E-07,blue,text,0.8,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,blue,text,0.8,blue,text,0.8,blue,text,0.8,lightblue,none,0.4
rocD<br><b>Ornithine--oxo-acid aminotransferase<br></b>part of the pathway for L-proline<br>biosynthesis,2.9031792081321,5.01592883463525,1.04749777276308,9.83053973419584E-07,red,text,0.8,lightpink,none,0.4,lightpink,none,0.4,lightpink,none,0.4,lightpink,none,0.4,lightpink,none,0.4,red,text,0.8,lightpink,none,0.4,lightpink,none,0.4,lightpink,none,0.4,lightpink,none,0.4,lightpink,none,0.4,red,text,0.8,red,text,0.8,,,,lightpink,none,0.4,lightpink,none,0.4
rimI<br><b><br></b>,-1.12599927401039,2.70576921734687,0.450619705246651,0.025596441775816,blue,text,0.8,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4
ribD<br><b><br></b>,-1.20782355622345,6.45886980713389,1.82481673710436,0.000188515100596,blue,text,0.8,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,blue,text,0.8,lightblue,none,0.4,lightblue,none,0.4,blue,text,0.8,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4
purT<br><b><br></b>N5-carboxyaminoimidazole ribonucleotide<br>synthase,-1.45498195203734,6.19129673352621,1.64391073238989,5.60911434089369E-05,blue,text,0.8,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,blue,text,0.8,blue,text,0.8
ptpA<br><b><br></b>,-2.0883706713135,3.60552915279035,0.621375064477161,0.000191208813431,blue,text,0.8,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,blue,text,0.8,blue,text,0.8,lightblue,none,0.4,blue,text,0.8,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4
pruA<br><b><br></b>L-glutamate gamma-semialdehyde<br>dehydrogenase,1.31923273387693,7.39755103923844,2.64506561164238,4.73902554489261E-06,red,text,0.8,lightpink,none,0.4,lightpink,none,0.4,lightpink,none,0.4,lightpink,none,0.4,lightpink,none,0.4,lightpink,none,0.4,lightpink,none,0.4,lightpink,none,0.4,lightpink,none,0.4,lightpink,none,0.4,lightpink,none,0.4,lightpink,none,0.4,lightpink,none,0.4,,,,lightpink,none,0.4,lightpink,none,0.4
prfA<br><b><br></b>,-1.00601694920202,7.13109872630345,2.37870737110509,4.67061669355212E-05,blue,text,0.8,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4
PPE17<br><b><br></b>,-2.53543538801639,8.26049842783771,3.74501648291072,3.48826926900666E-08,blue,text,0.8,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4
pimB<br><b><br></b>GDP-mannose-dependent<br>phosphatidylinositol monomannoside mannosyltransferase,-1.55887819969486,4.90765555429211,1.00558376776451,0.000106954269968,blue,text,0.8,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,blue,text,0.8,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4
pheA<br><b><br></b>,-1.03643684908253,6.18703628700746,1.64118886453181,8.09209586200322E-05,blue,text,0.8,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4
pgm<br><b><br></b>,-1.08060900714401,6.84002368202939,2.11974842803546,2.97209154296371E-05,blue,text,0.8,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4
